弘樹，你在做什麼,諾亞方舟，出航
那場火是個意外,真是個相當賺錢，相當湊巧的意外啊
真是個相當賺錢，相當湊巧的意外啊,好吧，就當你說對了，我燒了那棟樓，這跟引爆炸彈又有什么關系
好吧，就當你說對了，我燒了那棟樓，這跟引爆炸彈又有什么關系,也許你喜歡那種感覺，你毀滅的欲望
也許你喜歡那種感覺，你毀滅的欲望,你瘋了
我沒放那火，也沒有造過炸彈,在網路上能夠輕松找到解決困難的方法
在網路上能夠輕松找到解決困難的方法,行，你想要繼續跟我浪費你的時間
行，你想要繼續跟我浪費你的時間，請便,我們會的
我們能不能認為你知道本森赫炸彈客的事,當然，怎麼了
當然，怎麼了,案子上有了一些新的進展，目前，內森是我們最大的嫌疑人
案子上有了一些新的進展，目前，內森是我們最大的嫌疑人,你在開玩笑吧
你在開玩笑吧,你說他不一樣了
你說他不一樣了,他是不一樣，但不至於搞爆炸什麼的
他是不一樣，但不至於搞爆炸什麼的,你知道他昨天早上八點十五分在哪里嗎
你知道他昨天早上八點十五分在哪里嗎,當然不知道，我們分居了
我想跟你談談內特里索的事，他也是從大草甸監獄出來的,他現在出獄了，跟我一樣，但我們在里面的時候，他被分到了內特的牢區
要是你有時間，我很想跟你聊聊,當然可以，有什麼特別的事嗎
當然可以，有什麼特別的事嗎,你怎麼轉變的，從醫生到這個，肯定不容易吧
你怎麼轉變的，從醫生到這個，肯定不容易吧,是不容易
是不容易,你現在看起來很好，我也在嘗試改變
你們想知道內特的事，他做了什么壞事嗎,你們在大草甸監獄有過交集
你因為襲擊他人被判入獄的時間，跟他因過失殺人進去的時間差不多,所以呢
所以呢,你們是獄友中的好伙伴，對吧
你們是獄友中的好伙伴，對吧,我們是朋友，如果你問的是這個
我們是朋友，如果你問的是這個,你們還是朋友，對吧
你們認為內特是本森赫炸彈客,因為他昨天從爆炸現場逃走了，所以他是我們首要懷疑對象
我沒什麼好說的,這並不代表你不知道
沒有一條可用證據能證明他跟爆炸有關,沒錯，他在第二次爆炸現場逃走了
沒錯，他在第二次爆炸現場逃走了,但一個有前科的人看到跟警方合作的人會跑，這其中的理由我能列出一打來
開個鎖要花兩分半鐘，你技藝生疏了,事實上，菲爾德先生裝了一個商用級的雙筒鈦門栓，兩分半鐘已經是最好記錄了
房子很簡樸，門鎖倒很先進,看起來進一步證明了，他是一個有秘密的人
昨天你說我看起來心情不好，為什麼這麼說,倒不是因為你說了什麼，我們同住一個屋檐下將近五年，我能感覺到
抱歉讓你久等了,我已經在這待了有倆小時了
我跟你們說了我沒有跟內森合謀,我們知道你是在為他工作
我炸東西是因為我必須如此，因為我有病,你想騙我們，因為你覺得你的家人還能等著享受你的分成
你好啊醫生,你怎麼來了
你怎麼來了,我只是在想你那天問我的事
你只要答應保證公共區域乾凈，幫住戶簡單修修東西就行,房東知道我有犯罪記錄吧
房東知道我有犯罪記錄吧,是的，他知道，他和我妹妹是朋友，她替你擔保了
是的，他知道，他和我妹妹是朋友，她替你擔保了,我認識你
我認識你,就這麼簡單嗎
就這麼簡單嗎,有時候就這麼簡單
你不會殺我,你為什麼這麼想，福爾摩斯
你為什麼這麼想，福爾摩斯,你不是會到處胡鬧的人
你的朋友嗎,這三個是我的手下
走私犯嗎,他幫我帶東西進入美國，那些我生意需要的東西
那是誰幹的,五個或者更多的襲擊者，可能有軍隊背景
你要多久才能給我兇手的名字,我不知道，不過更重要的是，我也還沒打算告訴你
我不知道，不過更重要的是，我也還沒打算告訴你,我還以為你很聰明，福爾摩斯，這工作可不是你能拒絕的
每天一千塊怎麼樣,我不想要你的錢，我希望你用消息來跟我換
我不想要你的錢，我希望你用消息來跟我換,你想要什麼
你想要什麼,跟你一樣，一個名字
有人在賣添加了芬太奴的海洛因，你想知道是誰在賣,你答應為一個毒販工作，為了交換另一個毒販的名字嗎
你答應為一個毒販工作，為了交換另一個毒販的名字嗎,是的
那個是實時監控嗎,對本地一家直升機服務商欠我一些人情
你昨晚跟辛維爾的會面如何,挺好的，他準備租下公寓，中午他會跟我見面
你想告訴我，我們為什麼要看一堆船嗎,昨晚，我在灰塵中看到一個鞋印
昨晚，我在灰塵中看到一個鞋印,韓國的嗎
韓國的嗎,是朝鮮的，這很重要
我都承認，但都是我自己幹的，跟別人無關,那雷托雷斯的謀殺呢，那也是你自己幹的嗎
那雷托雷斯的謀殺呢，那也是你自己幹的嗎,對，只有我，我開槍打死了他
對，只有我，我開槍打死了他,我們的顧問說至少有五個襲擊者，所以是誰幫了你
你用的是哪種槍,一把70型手槍，我把它扔到海里了
一把70型手槍，我把它扔到海里了,口徑不對
我不能供出我的雇主，他們會傷害我的家人,我們只想要真相，船長
他們撬開了我的保險箱拿走了里面的東西,什麼東西
什麼東西,一個盒子，一個鎖住的鐵盒子，是國內一個非常重要的人給的
一個盒子，一個鎖住的鐵盒子，是國內一個非常重要的人給的,政黨官員嗎
政黨官員嗎,他不肯告訴我盒子里裝的什麼
怎麼了,這是派克船長的手機，他讓他的手下跟蹤雷·托雷斯快有一周了
我覺得是藏嬌的金屋，一個給情婦住的家,托雷斯還沒結婚，有什麼好藏的
托雷斯還沒結婚，有什麼好藏的,對你來說，答案要稍后揭曉了
有什麼事嗎,你是雲靜怡嗎
你是雲靜怡嗎,沒人叫我中文名字，我媽都不這麼叫
喬恩·華生醫生，我們能談談嗎,有什麼麻煩嗎
我有什么能幫你的,我的合伙人和我想要跟您做筆交易
我們注意到您的同伴，福爾摩斯先生正在尋找某個東西,這個東西是個鐵盒子嗎
你覺得他是因為這個原因，才對這個地方那么保密的嗎,他是不是不希望他在馬拉三角幫的合伙人知道他的性取向
他是不是不希望他在馬拉三角幫的合伙人知道他的性取向,他們發現了嗎
他們發現了嗎,所以他才死了嗎
所以他才死了嗎,是那些恐同的瘋子們殺了雷嗎
是那些恐同的瘋子們殺了雷嗎,我們不認為是這么回事
你知道關于一個鐵盒子的事嗎,那東西可能在最近一周左右在雷的手上
你知道里邊是什么嗎,他曾把它放在那邊的桌子上
這個綠石頭，它有沒有一個方形底座，邊長大概十到十二厘米,聽起來應該差不多
假設雷拿到的是真貨,他說的對，那綠石頭確實值大錢
他說的對，那綠石頭確實值大錢,事實上中國帝王曾想用十五座城換它
很有可能雷偷走了一個人類歷史上最珍貴的失蹤物件,這么看的話，五千萬買皇帝的玉璽似乎出價有點低
如果在托雷斯盒子里的是真的玉璽,那我同意，但是已經有上千年沒人見過那東西了
那我同意，但是已經有上千年沒人見過那東西了,有人覺得是真的，不然他們不會提出八位數的傭金
他們自報家門了嗎,沒有，但從他們的口音來判斷應該是臺灣人
沒有，但從他們的口音來判斷應該是臺灣人,那個仍然自稱為中華民國的國家嗎
如果臺灣人得到了玉璽，他們可能是想宣傳大規模的政變,我們應該接受他們的開價嗎
我們應該接受他們的開價嗎,馬拉三角幫顯然不知道，玉璽已經從雷的倉庫里被偷走了
誰找到歸誰嗎,如果你愿意我們可以把錢捐給慈善會
如果你愿意我們可以把錢捐給慈善會,那樣也好
如果把玉璽交給臺灣人會增加臺灣與大陸的緊張氣氛,我可不想引起中國的第二次國內戰爭
我可不想引起中國的第二次國內戰爭,臺灣人是怎么知道玉璽的
臺灣人是怎么知道玉璽的,你都沒跟他們說過
你都沒跟他們說過,我估計他們也是雷的潛在買家也在調查他的死因
殺死他的人已經拿到玉璽了,可能是其他買家，對吧
可能是其他買家，對吧,只有買家才知道托雷斯有玉璽
他跟潛在買家們在他出租的，一處房產里當面見過,如果我們能找出是哪一處，我們也許就能找到目擊者
我打算說服老板把送餐地址給我,怎么說服
每個人都有一個價碼,我們已經知道了，你的價碼是五千萬
我們已經知道了，你的價碼是五千萬,希望BVP餐飲的價碼會低一點
